X,Y,OBJECTID,Planning_A,Tier,Planning_R,ITM_X_Coor,ITM_Y_Coor,Proposed_D,Planning_S
723178,738623,1,Dublin City Council,2A,2917/16,723178,738623,16,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
713841,736532,2,Dublin City Council,2A,3420/16,713841,736532,19,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
714372,734236,3,Dublin City Council,2A,3503/16,714372,734236,10,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
723040,740695,4,Dublin City Council,2A,3634/16,723040,740695,139,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
714758,732109,5,Dublin City Council,2A,3713/16,714758,732109,18,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
715300,733789,6,Dublin City Council,2A,4280/16,715300,733789,65,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
715724,732654,7,Dublin City Council,2A,4443/16,715724,732654,184,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
718101,730678,8,Dublin City Council,2A,4459/16,718101,730678,90,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
715426,731464,9,Dublin City Council,2A,3963/16,715426,731464,14,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
721365,738450,10,Dublin City Council,2A,3973/16,721365,738450,71,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
713213,739055,11,Dublin City Council,2A,2032/17,713213,739055,32,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
713294,738893,12,Dublin City Council,2A,2138/17,713294,738893,48,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
710340,732272,13,Dublin City Council,2A,2158/17,710340,732272,85,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
717605,735385,14,Dublin City Council,2A,2413/17,717605,735385,23,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
713994,737692,15,Dublin City Council,2A,2458/17,713994,737692,69,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
716894,735368,16,Dublin City Council,2A,2467/17,716894,735368,60,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
717431,730899,17,Dublin City Council,2A,2477/17,717431,730899,20,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
715234,730163,18,Dublin City Council,2A,2128/17,715234,730163,24,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
710922,732047,19,Dublin City Council,2A,2438/17,710922,732047,23,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
722342,741371,20,Dublin City Council,2A,2478/17,722342,741371,12,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
716633,733100,21,Dublin City Council,2A,2100/17,716633,733100,26,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
711668,731755,22,Dublin City Council,2A,2326/17,711668,731755,14,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
716204,736215,23,Dublin City Council,2A,2049/17,716204,736215,146,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
717070,734167,24,Dublin City Council,2A,DSDZ2041/17,717070,734167,11,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
717665,734565,25,Dublin City Council,2A,DSDZ2496/17,717665,734565,10,http://www.dublincity.ie/swiftlg/apas/run/wphappcriteria.display
719586,728357,26,Dun Laoghaire-Rathdown,2A,D16A/0465,719586,728357,63,http://planning.dlrcoco.ie/swiftlg/apas/run/wphappcriteria.display
724283,728693,27,Dun Laoghaire-Rathdown,2A,D16A/0548,724283,728693,59,http://planning.dlrcoco.ie/swiftlg/apas/run/wphappcriteria.display
721244,726658,28,Dun Laoghaire-Rathdown,2A,D16A/0670,721244,726658,29,http://planning.dlrcoco.ie/swiftlg/apas/run/wphappcriteria.display
722808,727399,29,Dun Laoghaire-Rathdown,2A,D16A/0669,722808,727399,14,http://planning.dlrcoco.ie/swiftlg/apas/run/wphappcriteria.display
722904,728523,30,Dun Laoghaire-Rathdown,2A,D16A/0678,722904,728523,70,http://planning.dlrcoco.ie/swiftlg/apas/run/wphappcriteria.display
723401,727873,31,Dun Laoghaire-Rathdown,2A,D16A/0747,723401,727873,15,http://planning.dlrcoco.ie/swiftlg/apas/run/wphappcriteria.display
723712,724309,32,Dun Laoghaire-Rathdown,2A,D15A/0385,723712,724309,153,http://planning.dlrcoco.ie/swiftlg/apas/run/wphappcriteria.display
723712,724309,33,Dun Laoghaire-Rathdown,2a,DZ16A/0587,723712,724309,9,http://planning.dlrcoco.ie/swiftlg/apas/run/wphappcriteria.display
725278,722813,34,Dun Laoghaire-Rathdown,2A,D15A/0840,725278,722813,60,http://planning.dlrcoco.ie/swiftlg/apas/run/wphappcriteria.display
722068,724377,35,Dun Laoghaire-Rathdown,2A,D16A/0260,722068,724377,46,http://planning.dlrcoco.ie/swiftlg/apas/run/wphappcriteria.display
717999,727761,36,Dun Laoghaire-Rathdown,2A,D16A/0818,717999,727761,120,http://planning.dlrcoco.ie/swiftlg/apas/run/wphappcriteria.display
715645,728426,37,Dun Laoghaire-Rathdown,2A,D16A/0863,715645,728426,28,http://planning.dlrcoco.ie/swiftlg/apas/run/wphappcriteria.display
